"","Study","Lab.field","Species","Hab2","H1","H2","x2","T","h1","h2","A","D","hv","spstudy"
"598","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.382261925909448,0.0994192134348286,164,13.4,2.088006,2.088006,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"599","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.395060558648924,0.0976514464818622,164,14.2,2.097975,2.097975,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"600","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.391383603386754,0.134138156391088,164,14.1,2.276168,2.276168,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"601","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.468033978467376,0.181585021408705,164,13.2,2.389564,2.389564,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"602","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.451629101143848,0.141421356237310,164,12.8,2.190187,2.190187,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"603","Lugo-Fernandez et al. 1998 ECSS","Field","","Coral Reef",0.464427733883324,0.0994192134348286,164,12.5,2.073053,2.073053,NA,NA,1.2,"Lugo-Fernandez et al. 1998 ECSS"
"604","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.165109433407059,0.0680236723501459,93,12.23628837,2.76336027,1.25916027,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"605","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.181160757339993,0.0680943830282645,93,12.26429052,2.759034228,1.254834228,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"606","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.179958675811976,0.0681650937063832,93,12.1448362,2.765281253,1.261081253,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"607","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.175079639021789,0.0681650937063832,93,12.0047247,2.788286192,1.284086192,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"608","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.194807918216894,0.0707106781186548,93,11.85058742,2.820715069,1.316515069,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"609","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.218213152674169,0.0866912913734707,93,11.68953477,2.833016037,1.328816037,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"610","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.237870721191155,0.0892368757857423,93,11.54277606,2.853615105,1.349415105,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"611","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.169139942059822,0.0720541810029092,93,11.4079222,2.875181703,1.370981703,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"612","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.170412734265958,0.0745290547370621,93,11.26066779,2.899574467,1.395374467,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"613","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.171685526472094,0.0795495128834866,93,11.10613234,2.928860824,1.424660824,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"614","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.185261976670875,0.0930552524041496,93,10.95948739,2.935722781,1.431522781,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"615","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.219698076914660,0.106631702602931,93,10.81337878,2.941247465,1.437047465,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"616","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.19763634534164,0.116531197539543,93,10.65834762,2.953087761,1.448887761,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"617","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.173099740034467,0.10302545801888,93,10.51001244,2.964086126,1.459886126,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"618","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.180524361236926,0.110450079221339,93,10.90926694,2.954715825,1.450515825,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"619","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.190353145495419,0.122824447892103,93,11.53992292,2.949400298,1.445200298,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"620","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.254275598514682,0.137532268940783,93,12.16449476,2.939690535,1.435490535,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"621","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.245719606462325,0.130249069094562,93,12.73886414,2.932682324,1.428482324,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"622","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.25809397513309,0.116814040252018,93,13.34182564,2.919630084,1.415430084,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"623","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.213899801308931,0.109460129727678,93,13.98032784,2.905914773,1.401714773,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"624","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.226203459301577,0.111935003461830,93,14.46422006,2.881223527,1.377023527,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"625","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.233628080504035,0.104651803615609,93,14.43490881,2.854477536,1.350277536,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"626","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.25703331496131,0.112076424818068,93,14.39926076,2.832960393,1.328760393,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"627","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.264457936163769,0.112076424818068,93,14.3667362,2.818070804,1.313870804,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"628","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.258376817845564,0.114622009230339,93,14.33577788,2.797555682,1.293355682,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"629","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.188373246508096,0.0876105301890132,93,14.30264803,2.781218974,1.277018974,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"630","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.217859599283575,0.0864084486609961,93,14.27024381,2.766372794,1.262172794,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"631","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.22655701269217,0.0840042856049618,93,14.23771027,2.755185743,1.250985743,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"632","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.23023396795434,0.0840749962830805,93,14.20516596,2.749550429,1.245350429,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"633","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.259791031407938,0.0840749962830805,93,14.08751535,2.746889606,1.242689606,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"634","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.281994184337195,0.096449364953845,93,13.91671294,2.756219343,1.252019343,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"635","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.221748686580101,0.082943625433182,93,13.74225402,2.775754957,1.271554957,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"636","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.205909494681523,0.0780645886429948,93,13.53137748,2.79944299,1.29524299,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"637","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.213263405205863,0.0842871283174365,93,13.34076456,2.817603566,1.313403566,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"638","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.241618387131443,0.107621652096593,93,13.15144776,2.839930871,1.335730871,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"639","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.226910566082763,0.117521147033204,93,12.96976011,2.847544455,1.343344455,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"640","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.279802153315517,0.133572470966139,93,13.01760071,2.882722215,1.378522215,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"641","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.225779195232865,0.121339523651612,93,13.16702567,2.899340949,1.395140949,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"642","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.244234682221833,0.128764144854070,93,13.28738404,2.916185548,1.411985548,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"643","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.255336258686462,0.138592929112563,93,13.42802453,2.925455419,1.421255419,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"644","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.302076016922893,0.136188766056529,93,13.56810904,2.934726411,1.430526411,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"645","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.28857027740223,0.143613387258988,93,13.66120219,2.936548192,1.432348192,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"646","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.310773430331488,0.138734350468801,93,13.66120219,2.934632083,1.430432083,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"647","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.275205959237804,0.130178358416443,93,13.66120219,2.92562554,1.42142554,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"648","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.262902301245158,0.127774195360409,93,13.66120219,2.912546867,1.408346867,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"649","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.259296056661107,0.113066374311729,93,13.66120219,2.896316021,1.392116021,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"650","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.264245804129413,0.114339166517865,93,13.66120219,2.874748144,1.370548144,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"651","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.253144227664784,0.100904137675320,93,13.66120219,2.856048338,1.351848338,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"652","Lugo-Fernandez et al. 1998 CSR","Field","","Coral Reef",0.256962604283191,0.112005714139949,93,13.66120219,2.839369372,1.335169372,NA,NA,1.7679,"Lugo-Fernandez et al. 1998 CSR"
"138","Madin et al. 2006","Model (field-calibrated)",NA,"Coral Reef",2.12132034355964,0.615182899632296,100,3.6,1.5,1.5,NA,NA,NA,"NAMadin et al. 2006"
"215","Mork 1996","Field","Laminaria hyperborea","Kelp",NA,NA,258,12,8,8,0.034,21,1.65,"Laminaria hyperboreaMork 1996"
"216","Mork 1996","Field","Laminaria hyperborea","Kelp",NA,NA,258,7,6.6,6.6,0.034,21,1.65,"Laminaria hyperboreaMork 1996"
"769","Rosman et al. 2007","Field","Macrocystis pyrifera","Kelp",0.830036186340001,NA,128,11.8,11.8,8.7,0.01,0.09,11.8,"Macrocystis pyriferaRosman et al. 2007"
"134","Kobayashi et al. 1993 (reporting data from Asano et al. 1988)","Lab",NA,"Kelp (Art.)",0.115,0.09,7,1.250440917,0.485,0.485,NA,1295,0.25,"NAKobayashi et al. 1993 (reporting data from Asano et al. 1988)"
"653","Massel et al. 1999","Field","Rhizophora spp.","Mangrove",NA,NA,80,1.8846,1.25,0.5,NA,NA,NA,"Rhizophora spp.Massel et al. 1999"
"654","Massel et al. 1999","Field","Rhizophora spp.","Mangrove",NA,NA,160,1.9832,1.8,0.7,NA,NA,NA,"Rhizophora spp.Massel et al. 1999"
"655","Massel et al. 1999","Field","Rhizophora spp. and Aegiceras spp.","Mangrove",NA,NA,160,2.2104,1.5,0.4,NA,NA,NA,"Rhizophora spp. and Aegiceras spp.Massel et al. 1999"
"1","Allen et al. 2008","Field","Schoenoplectus acutus","Marsh",0.149767123019713,0.0969545059548671,7,NA,1.5,1.5,0.010623,100,2.75,"Schoenoplectus acutusAllen et al. 2008"
"3","Allen et al. 2008","Field","Schoenoplectus acutus","Marsh",0.243883936117365,0.179405248417299,5,NA,1.5,1.5,0.010623,100,2.75,"Schoenoplectus acutusAllen et al. 2008"
"4","Allen et al. 2008","Field","Schoenoplectus acutus","Marsh",0.127617353773114,0.115872458336305,10,NA,1.5,1.5,0.010623,100,2.75,"Schoenoplectus acutusAllen et al. 2008"
"5","Allen et al. 2008","Field","Schoenoplectus acutus","Marsh",0.243174512903061,0.228986048616983,5,NA,1.5,1.5,0.010623,100,2.75,"Schoenoplectus acutusAllen et al. 2008"
"6","Allen et al. 2008","Field","Schoenoplectus acutus","Marsh",0.165847382543935,0.192253691076359,5,NA,1.5,1.5,0.010623,100,2.75,"Schoenoplectus acutusAllen et al. 2008"
"135","Koch 1996","Field","Thalassia testudinum","Seagrass",NA,NA,5,2.857142857,0.6,0.5,0.0075,454,0.266,"Thalassia testudinumKoch 1996"
"136","Koch 1996","Field","Thalassia testudinum","Seagrass",NA,NA,50,2.857142857,0.5,0.37,0.0075,464,0.221,"Thalassia testudinumKoch 1996"
"219","Prager & Halley 1999","Field","Thalassia testudinum","Seagrass",0.123074331078000,0.0763251665600001,728,NA,1.8,1.2,0.0075,550.916666625,0.238333333333333,"Thalassia testudinumPrager & Halley 1999"
"221","Price et al. 1968","Lab",NA,"Seagrass (Art.)",0.07540752,0.07464552,2.64118344,1.33,0.0438531,0.08140446,NA,569,0.0762,"NAPrice et al. 1968"
